id,DATE_DECLARATION,NUMEROVISA,ENTITE_CODE,NOM_NAVIRE
1,2025-07-04 08:43:53,14/2-PDA2900407,14/2,Navire_516
2,2025-06-02 03:21:56,14-PDA0600206,14,Navire_321
3,2025-06-02 21:08:16,11/1-PDA0100206,11/1,Navire_267
4,2025-05-21 21:15:58,12/2-PDA2222105,12/2,Navire_574
5,2025-07-05 20:39:49,10-PDA0790507,10,Navire_534
6,2025-05-28 01:53:55,13-PDA3252805,13,Navire_440
7,2025-07-09 07:36:35,13-PDA2690907,13,Navire_677
8,2025-07-10 04:49:27,13-PDA2081007,13,Navire_658
9,2025-06-29 07:35:38,10-PDA0822906,10,Navire_466
10,2025-06-29 00:57:21,10-PDA1092906,10,Navire_923
11,2025-07-18 10:12:06,10/3-PDA0921807,10/3,Navire_600
12,2025-06-24 03:30:58,10/3-PDA3072406,10/3,Navire_203
13,2025-05-27 21:39:29,12/2-PDA0632705,12/2,Navire_484
14,2025-07-01 05:17:32,14/2-PDA2850107,14/2,Navire_415
15,2025-05-28 04:36:45,11/1-PDA3012805,11/1,Navire_433
16,2025-07-19 04:57:07,11/3-PDA0781907,11/3,Navire_726
17,2025-06-21 03:02:30,11-PDA3232106,11,Navire_514
18,2025-07-07 09:36:41,10/2-PDA0450707,10/2,Navire_956
19,2025-07-16 09:23:45,10/3-PDA1731607,10/3,Navire_579
20,2025-06-29 21:30:02,12/1-PDA1282906,12/1,Navire_368
21,2025-05-30 04:46:40,11/3-PDA0253005,11/3,Navire_772
22,2025-06-18 23:22:01,12/2-PDA0081806,12/2,Navire_211
23,2025-06-23 00:01:21,12-PDA0072306,12,Navire_777
24,2025-07-10 03:04:57,14/2-PDA3021007,14/2,Navire_486
25,2025-05-22 04:37:27,12/1-PDA0902205,12/1,Navire_491
26,2025-06-14 03:32:37,12/1-PDA0321406,12/1,Navire_476
27,2025-06-14 09:39:03,12-PDA0661406,12,Navire_507
28,2025-06-16 04:32:34,11/2-PDA0131606,11/2,Navire_823
29,2025-06-17 05:19:44,13/1-PDA2121706,13/1,Navire_377
30,2025-06-17 08:06:22,14/2-PDA0441706,14/2,Navire_115
31,2025-07-15 22:46:05,14/1-PDA2511507,14/1,Navire_498
32,2025-05-25 00:11:43,10/2-PDA2572505,10/2,Navire_858
33,2025-07-14 09:47:15,13/1-PDA2761407,13/1,Navire_337
34,2025-07-09 06:35:52,11/1-PDA0720907,11/1,Navire_323
35,2025-06-20 22:14:10,10-PDA1402006,10,Navire_903
36,2025-05-24 04:12:52,12/3-PDA2002405,12/3,Navire_481
37,2025-07-15 20:32:58,10/1-PDA0791507,10/1,Navire_943
38,2025-06-30 08:35:44,13/2-PDA2053006,13/2,Navire_376
39,2025-06-26 06:41:27,10/3-PDA3242606,10/3,Navire_298
40,2025-05-28 00:38:58,10/3-PDA2642805,10/3,Navire_846
